time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-30 18:48:00+00:00,3.326844080220326e-07,4.910373718303163e-06
2026-06-30 18:49:00+00:00,3.275144422332233e-07,4.854357939620968e-06
2026-06-30 18:50:00+00:00,2.928294406956411e-07,4.574080321617657e-06
2026-06-30 18:51:00+00:00,2.31746042800296e-07,4.095442363905022e-06
2026-06-30 18:52:00+00:00,1.9290772002023004e-07,3.755957550310995e-06
2026-06-30 18:53:00+00:00,1.951749339923481e-07,3.682058149934164e-06
2026-06-30 18:54:00+00:00,2.231955846809797e-07,3.7811259971931577e-06
2026-06-30 18:55:00+00:00,2.3353973688244883e-07,3.848940195894102e-06
2026-06-30 18:56:00+00:00,2.2967178381350095e-07,3.804817652053316e-06
2026-06-30 18:57:00+00:00,2.108878476292375e-07,3.682393071358092e-06
2026-06-30 18:58:00+00:00,1.994717706566007e-07,3.5889152059098706e-06
2026-06-30 18:59:00+00:00,1.990302251897447e-07,3.5885720990336267e-06
2026-06-30 19:00:00+00:00,1.7792974915664675e-07,3.4460751976439497e-06
2026-06-30 19:01:00+00:00,1.6716850836928645e-07,3.3330720725643914e-06
2026-06-30 19:02:00+00:00,1.6467122065932926e-07,3.298570618426311e-06
2026-06-30 19:03:00+00:00,1.601588621724659e-07,3.2399689189333003e-06
2026-06-30 19:04:00+00:00,1.4922807167749852e-07,3.198609192622825e-06
2026-06-30 19:05:00+00:00,1.470747292842134e-07,3.1543165732728085e-06
2026-06-30 19:06:00+00:00,1.3726591419072065e-07,3.093701479883748e-06
2026-06-30 19:07:00+00:00,1.283984261135629e-07,3.0087956019997364e-06
2026-06-30 19:08:00+00:00,1.2137127214373322e-07,2.9489015105355065e-06
2026-06-30 19:09:00+00:00,1.12198456747592e-07,2.8672961889242288e-06
2026-06-30 19:10:00+00:00,1.0943817585484795e-07,2.8012932489218656e-06
2026-06-30 19:11:00+00:00,1.0650434489889449e-07,2.7610685719992034e-06
2026-06-30 19:12:00+00:00,1.016281814258946e-07,2.725128297242918e-06
2026-06-30 19:13:00+00:00,9.81165726443578e-08,2.7024073006032268e-06
2026-06-30 19:14:00+00:00,1.0035219588644396e-07,2.6974912543664686e-06
2026-06-30 19:15:00+00:00,1.0167574515662636e-07,2.719986468946445e-06
2026-06-30 19:16:00+00:00,1.0630562741198447e-07,2.7485782538860803e-06
2026-06-30 19:17:00+00:00,1.0755755397440225e-07,2.7671489988279063e-06
2026-06-30 19:18:00+00:00,1.028280181003538e-07,2.744682433331036e-06
2026-06-30 19:19:00+00:00,1.0139166306544213e-07,2.7192850211577024e-06
2026-06-30 19:20:00+00:00,9.97066678110059e-08,2.7157177555636736e-06
2026-06-30 19:21:00+00:00,1.0839006847618293e-07,2.749567556747934e-06
2026-06-30 19:22:00+00:00,1.1163025703808672e-07,2.774159838736523e-06
2026-06-30 19:23:00+00:00,1.1312457104395437e-07,2.810196519931196e-06
2026-06-30 19:24:00+00:00,1.2070867683178221e-07,2.854852255040896e-06
2026-06-30 19:25:00+00:00,1.225961341333459e-07,2.8971726351301186e-06
2026-06-30 19:26:00+00:00,1.214514355751817e-07,2.9095397167111514e-06
2026-06-30 19:27:00+00:00,1.1769413532647377e-07,2.904509983636672e-06
2026-06-30 19:28:00+00:00,1.0619447010640216e-07,2.869308673325577e-06
2026-06-30 19:29:00+00:00,9.551566648724474e-08,2.8209483389218803e-06
2026-06-30 19:30:00+00:00,8.891431946267404e-08,2.7806088382931198e-06
2026-06-30 19:31:00+00:00,8.407953799860479e-08,2.7544119802769278e-06
2026-06-30 19:32:00+00:00,8.409624996374988e-08,2.7425153348303866e-06
2026-06-30 19:33:00+00:00,8.09266467172165e-08,2.720309339565574e-06
2026-06-30 19:34:00+00:00,7.866079698715113e-08,2.6953453016176354e-06
2026-06-30 19:35:00+00:00,7.781659405736718e-08,2.6757347768580075e-06
2026-06-30 19:36:00+00:00,7.581694916325432e-08,2.6651039206626592e-06
2026-06-30 19:37:00+00:00,7.598502094197103e-08,2.661656253621913e-06
2026-06-30 19:38:00+00:00,7.206406138493548e-08,2.644755795699893e-06
2026-06-30 19:39:00+00:00,6.86025956042613e-08,2.6144939511141274e-06
2026-06-30 19:40:00+00:00,6.521624840161168e-08,2.592441205706564e-06
2026-06-30 19:41:00+00:00,6.224954063327459e-08,2.5774872938200133e-06
2026-06-30 19:42:00+00:00,5.937496894148354e-08,2.5543629362800857e-06
2026-06-30 19:43:00+00:00,5.729877017301988e-08,2.5427173113712342e-06
2026-06-30 19:44:00+00:00,5.9370503180389285e-08,2.545513552831835e-06
2026-06-30 19:45:00+00:00,5.844080419592502e-08,2.5277076929342e-06
2026-06-30 19:46:00+00:00,5.489346932563421e-08,2.4981140995805617e-06
2026-06-30 19:47:00+00:00,5.138574366014837e-08,2.4533565010642637e-06
2026-06-30 19:48:00+00:00,5.215126819280159e-08,2.437474222460878e-06
2026-06-30 19:49:00+00:00,5.226251076351218e-08,2.434388761685113e-06
2026-06-30 19:50:00+00:00,5.5873119464422416e-08,2.4466103241138626e-06
2026-06-30 19:51:00+00:00,1.2452277076135942e-07,2.9348655061767204e-06
2026-06-30 19:52:00+00:00,2.430400343200745e-07,3.676554797493736e-06
2026-06-30 19:53:00+00:00,4.091626237823221e-07,4.719507160189096e-06
2026-06-30 19:54:00+00:00,5.793671107312548e-07,5.825293555972166e-06
2026-06-30 19:55:00+00:00,5.984633730804489e-07,6.255142579902895e-06
